transaction_id,amount,payment_method,failure_reason,retry_count,transaction_hour,previous_success_rate,customer_lifetime_value,recovered
1,4898.65,UPI,Insufficient Funds,3,22,0.026030028203079647,29810.33,0
2,2596.02,UPI,Bank Declined,3,5,0.4134487143624287,6648.04,0
3,5696.96,UPI,Expired Card,0,22,0.15556020045157626,3750.65,1
4,13670.97,UPI,Technical Error,2,17,0.6430968210213586,3723.62,0
5,2358.65,Card,Bank Declined,4,19,0.9573458487780413,32950.5,1
6,2358.69,UPI,Network Error,0,0,0.6245849045552929,11215.82,1
7,14461.03,UPI,Bank Declined,3,1,0.6948777063858891,3571.36,0
8,6421.68,Card,Bank Declined,3,6,0.3965629004256095,4107.76,0
9,1864.09,UPI,Bank Declined,2,4,0.5631408689519164,2668.41,0
10,5128.46,Card,Bank Declined,3,18,0.5438577096858598,7487.37,0
11,1875.41,Card,Network Error,4,1,0.759606345267944,13125.99,0
12,1871.08,UPI,Technical Error,1,2,0.8569116470202952,38014.33,1
13,3796.98,Card,Technical Error,3,19,0.6628859442830998,23971.71,0
14,439.98,Card,Insufficient Funds,2,9,0.9798088019240461,8404.65,1
15,531.17,UPI,Technical Error,1,9,0.8282883925244996,4055.94,1
16,1698.86,UPI,Bank Declined,4,20,0.12464674891692507,12821.66,0
17,1082.65,Card,Bank Declined,4,7,0.5074753983861712,1380.39,0
18,4081.61,NetBanking,Expired Card,4,8,0.9032360786937701,3685.16,1
19,1202.28,Card,Bank Declined,2,1,0.9439348687312138,15293.45,1
20,726.11,UPI,Insufficient Funds,1,2,0.380205938432398,19457.04,1
21,12908.6,Card,Insufficient Funds,4,15,0.7257040615165246,29985.78,0
22,2378.5,UPI,Bank Declined,3,3,0.4105454836423783,7236.11,1
23,3189.21,Card,Technical Error,1,22,0.12365972217943189,29623.46,0
24,717.13,Card,Expired Card,4,5,0.8846113049224182,5518.94,1
25,1729.55,Card,Technical Error,1,12,0.9319531227123078,5099.65,0
26,3330.65,NetBanking,Technical Error,3,5,0.5047505312658066,11019.21,0
27,942.94,Card,Technical Error,0,9,0.018307430820143744,25400.2,0
28,4340.3,Card,Technical Error,4,22,0.8160362506962597,20724.26,0
29,1634.94,UPI,Insufficient Funds,3,16,0.47696036623079086,22775.64,0
30,2226.77,NetBanking,Expired Card,2,7,0.07502835754156856,13721.56,0
31,1633.19,NetBanking,Bank Declined,4,8,0.18939148287149488,21143.12,0
32,19001.59,UPI,Expired Card,0,1,0.1521193402304284,8333.69,0
33,2940.99,UPI,Insufficient Funds,3,16,0.6862788663197142,11111.6,0
34,1035.14,UPI,Technical Error,3,19,0.2994094928674781,131549.56,0
35,6785.51,Card,Technical Error,1,10,0.1276905173114432,19510.22,0
36,879.33,Card,Expired Card,4,17,0.9176488262358435,8266.92,0
37,3673.37,UPI,Technical Error,0,21,0.9565310590158032,18091.88,1
38,420.03,NetBanking,Bank Declined,2,2,0.13857587276697225,2819.9,0
39,789.83,UPI,Network Error,1,8,0.23023585330987462,5875.06,0
40,3629.54,Card,Bank Declined,4,7,0.5921207196064159,6614.89,0
41,6238.32,UPI,Insufficient Funds,0,6,0.15050784949847407,3955.38,0
42,3538.18,UPI,Insufficient Funds,1,6,0.15859169290361186,47572.64,0
43,2655.4,UPI,Insufficient Funds,0,22,0.3365760417373901,13018.78,1
44,2205.91,UPI,Network Error,0,20,0.9491703328680051,14545.64,0
45,679.58,Card,Expired Card,1,7,0.9624421963562685,7301.61,0
46,1451.21,Card,Expired Card,1,19,0.84178824982537,2558.5,1
47,1880.63,UPI,Insufficient Funds,4,4,0.6957129179290505,7608.08,0
48,8579.43,UPI,Insufficient Funds,1,2,0.7206733658567527,5310.42,1
49,4203.27,UPI,Insufficient Funds,4,18,0.4695728430874009,2933.67,1
50,511.3,Card,Bank Declined,0,1,0.5301546281555489,17317.33,1
51,4121.96,Card,Insufficient Funds,1,13,0.6344526600059881,6209.19,1
52,2028.23,UPI,Bank Declined,4,20,0.7312866374945891,1366.14,1
53,1514.86,Card,Network Error,4,1,0.09684617251055128,8109.28,1
54,5495.45,UPI,Network Error,2,9,0.2248870096795551,8260.93,0
55,8358.21,NetBanking,Network Error,4,19,0.9629431913026789,17222.91,1
56,7564.94,NetBanking,Bank Declined,4,9,0.3351422654605789,9137.53,0
57,1287.92,Card,Technical Error,2,16,0.2684742108082029,4390.49,1
58,2188.1,NetBanking,Technical Error,3,1,0.4219113121243232,13331.75,1
59,4151.66,NetBanking,Bank Declined,1,0,0.29092075043326204,4235.15,1
60,7907.33,NetBanking,Insufficient Funds,2,17,0.09118019255185517,16404.71,0
61,1846.09,Card,Bank Declined,4,3,0.2079611319042033,25738.74,0
62,2475.85,UPI,Insufficient Funds,4,0,0.6401597975823332,678.67,0
63,986.01,UPI,Bank Declined,1,21,0.2231825570527327,3830.39,0
64,901.26,UPI,Insufficient Funds,0,16,0.6476671966948354,12897.01,0
65,6717.87,Card,Bank Declined,2,2,0.10008089490347005,8887.0,0
66,11570.8,UPI,Insufficient Funds,3,1,0.04187634959247577,29646.79,0
67,2773.85,UPI,Technical Error,1,17,0.8615676826591921,28308.5,1
68,8131.76,UPI,Insufficient Funds,1,3,0.760026195541693,20458.22,0
69,4279.69,UPI,Network Error,2,2,0.6660276828463733,1500.19,1
70,1563.81,Card,Insufficient Funds,4,11,0.03089923293686503,6883.97,0
71,4278.66,NetBanking,Insufficient Funds,4,21,0.23935393515373926,15375.16,0
72,13877.67,Card,Technical Error,3,15,0.8123143271522606,7891.66,1
73,2876.05,Card,Network Error,2,10,0.14466766505854456,7142.3,0
74,14251.87,Card,Insufficient Funds,1,9,0.8128534398937637,27933.51,0
75,217.08,UPI,Network Error,2,18,0.5842335497091802,11594.86,1
76,6781.15,UPI,Network Error,0,9,0.7403683677969792,6295.7,1
77,3252.07,NetBanking,Bank Declined,1,20,0.644507078451173,2476.19,1
78,2210.54,UPI,Bank Declined,3,2,0.41698958008375453,45271.26,1
79,3267.44,UPI,Technical Error,3,23,0.2919773488969244,10965.0,0
80,408.48,Card,Insufficient Funds,1,5,0.6727291785908471,5081.97,0
81,2393.06,UPI,Bank Declined,4,13,0.8069128818048943,20564.64,0
82,4260.38,UPI,Bank Declined,1,11,0.04473263616186174,1630.31,1
83,13067.64,UPI,Technical Error,1,7,0.3799089337238306,46727.35,1
84,1775.31,UPI,Expired Card,0,1,0.350729784179863,14928.51,0
85,1328.1,UPI,Technical Error,1,8,0.5594708404584525,72716.59,1
86,1804.87,UPI,Technical Error,2,13,0.1139250563877997,15260.43,0
87,7445.78,Card,Expired Card,2,0,0.9334194101392793,10287.6,1
88,4141.24,NetBanking,Network Error,3,2,0.5485102684338226,4427.83,1
89,1755.03,UPI,Technical Error,4,19,0.9237528042837789,5227.82,0
90,4980.41,NetBanking,Expired Card,3,5,0.8169409234616506,2343.23,0
91,3284.85,UPI,Insufficient Funds,0,19,0.19163886231518135,58535.38,0
92,7852.95,UPI,Network Error,1,12,0.1323390122929572,9252.33,0
93,1477.26,UPI,Technical Error,3,10,0.8612502400009282,19346.65,1
94,2148.1,Card,Expired Card,1,14,0.5361002225842191,22687.08,1
95,2014.03,UPI,Technical Error,3,17,0.019742747897898427,6476.51,0
96,689.86,Card,Technical Error,1,18,0.9342267484393597,3633.08,1
97,4008.29,Card,Expired Card,3,18,0.4730283993930644,3957.8,0
98,3870.18,Card,Network Error,2,5,0.3009363017523957,1724.62,0
99,2996.24,Card,Insufficient Funds,0,14,0.5165978711706473,2647.11,0
100,2357.63,NetBanking,Insufficient Funds,3,20,0.8229183904341552,13836.99,0
101,723.88,UPI,Network Error,2,13,0.1102927350357904,22540.86,0
102,1957.37,UPI,Bank Declined,4,4,0.35893290323753246,8148.43,0
103,2116.01,Card,Bank Declined,3,10,0.3188666732455584,20405.64,1
104,1336.38,Card,Bank Declined,1,19,0.8396495200281476,20893.2,1
105,2536.94,UPI,Expired Card,0,12,0.7784672759772122,5918.45,1
106,4465.12,UPI,Bank Declined,2,12,0.4001040345769321,24037.07,0
107,19656.94,UPI,Technical Error,2,3,0.6644883096645599,6887.12,1
108,3549.56,UPI,Expired Card,0,8,0.3944454822947818,5277.57,0
109,3856.64,UPI,Bank Declined,3,22,0.5713138383162337,8832.49,0
110,2767.1,NetBanking,Bank Declined,1,12,0.9912152946251193,1979.38,1
111,437.57,Card,Technical Error,4,7,0.5355744672355747,7811.37,0
112,2902.96,UPI,Technical Error,3,19,0.9885747328305068,805.64,1
113,3166.02,Card,Bank Declined,0,10,0.7471991062647436,15920.93,0
114,35004.86,NetBanking,Insufficient Funds,3,18,0.12072229026313974,2221.52,0
115,2459.32,UPI,Bank Declined,3,0,0.7959661686003467,8050.76,0
116,4030.1,UPI,Insufficient Funds,0,8,0.16128564146981517,35751.81,0
117,2879.26,Card,Bank Declined,0,1,0.5323286083866127,8702.3,1
118,926.41,Card,Bank Declined,4,3,0.613245234465619,1219.87,1
119,9347.11,UPI,Network Error,0,3,0.8922304552193602,9221.39,1
120,6322.9,Wallet,Expired Card,0,0,0.21042421025711477,6275.7,0
121,6575.01,UPI,Network Error,0,17,0.8759420723638627,20573.04,1
122,1200.64,UPI,Expired Card,2,13,0.9344937759583011,7235.66,0
123,12122.21,UPI,Technical Error,0,12,0.0894873512595683,24717.21,0
124,733.74,UPI,Technical Error,0,7,0.8852851180120224,12527.21,1
125,5360.74,Card,Bank Declined,0,5,0.259180048607747,19435.96,1
126,26647.63,Wallet,Bank Declined,4,16,0.08100094938213753,7381.35,0
127,1107.06,UPI,Technical Error,3,22,0.9585743559183243,29246.49,0
128,1692.06,Wallet,Expired Card,0,10,0.39220348724959087,4857.87,1
129,3293.32,NetBanking,Bank Declined,0,14,0.6229835051369697,1296.19,1
130,1801.77,UPI,Insufficient Funds,4,6,0.5528731197953152,2709.73,0
131,632.28,Card,Technical Error,3,21,0.21318192465983243,9142.29,1
132,3192.51,UPI,Bank Declined,4,7,0.6695657281670652,10622.8,0
