transaction_id,customer_id,customer_success_rate,customer_lifetime_value,amount,payment_method,failure_reason,retry_count,transaction_hour,recovered
1,10638,0.7961294525687785,1424.8422451803215,1238.11744983533,Card,Bank Declined,5,11,1
2,11228,0.7994360869898968,3139.1077957312987,2156.1986251384765,NetBanking,Network Error,0,15,0
3,10116,0.4992028966650844,8769.398965792681,10324.953019039276,UPI,Bank Declined,0,6,0
4,11290,0.31774661718049946,24948.648084344986,1180.343882138004,Card,Technical Error,1,1,1
5,11817,0.901025935998935,7274.63689493166,8155.468720856538,Card,Insufficient Funds,1,1,1
6,12196,0.601200500313503,13359.231973855402,3484.7682820474374,UPI,Insufficient Funds,2,14,0
7,11703,0.6922289512382317,6572.641800338366,2009.4310430669582,UPI,Bank Declined,0,4,0
8,11847,0.6159043373089849,8468.946527872904,9222.6886938907,UPI,Insufficient Funds,1,9,0
9,12226,0.796795544471356,2423.7446134284683,5203.843387499893,UPI,Insufficient Funds,0,9,0
10,12195,0.7518801912363311,41823.04476393031,1016.7756301571106,Card,Insufficient Funds,0,11,0
11,10464,0.7391798791592264,6219.314827787893,4289.736567457863,Wallet,Bank Declined,0,7,0
12,10975,0.8454842458669609,6070.914560230569,4285.465242161108,UPI,Technical Error,2,20,1
13,12616,0.5787306627395784,4516.589112801456,8163.139592627557,UPI,Bank Declined,1,12,0
14,12025,0.7334843905526591,9555.47519084833,5352.715279753729,Wallet,Insufficient Funds,0,6,0
15,11028,0.5317643589269364,21375.086982846293,5749.708418527658,Card,Network Error,2,7,0
16,10525,0.8276991846356418,21619.000665734595,1917.1969788616132,NetBanking,Technical Error,4,18,0
17,12327,0.6533224165246236,1842.7404896087805,2417.0287568580798,UPI,Bank Declined,1,8,1
18,12546,0.6815853510672742,2421.54458354262,2316.6119962904877,NetBanking,Bank Declined,0,22,1
19,10835,0.7506683397359446,6012.239123767999,602.6284721096921,NetBanking,Network Error,2,10,1
20,12483,0.6296773295444821,7513.034813937069,10793.022511226423,UPI,Insufficient Funds,1,19,0
21,12863,0.7314937725130706,3240.678406699369,973.4419235803545,UPI,Network Error,4,16,0
22,11239,0.9357199790592414,41319.01198827711,3899.9592930037948,UPI,Technical Error,3,6,1
23,12734,0.37396161232692293,5406.317545663147,2140.741811582219,UPI,Technical Error,2,21,0
