payment_method,failure_reason,retry_count,transaction_hour,retry_delay_minutes,recovered
NetBanking,Network Error,2,15,360,0
Wallet,Network Error,2,23,0,0
UPI,Technical Error,0,7,15,1
NetBanking,Network Error,1,20,15,1
NetBanking,Expired Card,0,15,1440,0
Wallet,Network Error,4,3,15,0
UPI,Expired Card,2,5,360,0
UPI,Network Error,3,20,0,1
NetBanking,Expired Card,4,7,360,0
Card,Network Error,3,8,60,0
NetBanking,Network Error,4,12,1440,0
NetBanking,Bank Declined,0,16,1440,0
NetBanking,Expired Card,0,8,15,1
NetBanking,Expired Card,2,12,60,1
Wallet,Expired Card,3,8,15,0
UPI,Insufficient Funds,4,5,15,0
Wallet,Network Error,1,9,15,1
Wallet,Expired Card,1,4,60,0
Wallet,Insufficient Funds,2,6,15,1
NetBanking,Bank Declined,3,10,1440,0
Card,Expired Card,1,23,15,0
UPI,Expired Card,2,8,60,0
Card,Insufficient Funds,2,9,60,0
Wallet,Network Error,3,10,360,1
Wallet,Bank Declined,1,2,15,0
Card,Expired Card,1,7,60,0
Card,Network Error,1,16,15,1
Card,Bank Declined,0,6,0,1
Wallet,Technical Error,1,11,1440,1
Wallet,Technical Error,4,15,1440,1
UPI,Bank Declined,0,14,15,0
UPI,Insufficient Funds,0,20,1440,0
Wallet,Bank Declined,0,12,1440,0
Card,Bank Declined,0,17,0,0
Card,Insufficient Funds,2,17,1440,1
UPI,Insufficient Funds,4,23,1440,0
Wallet,Network Error,3,4,60,1
UPI,Network Error,1,13,1440,1
UPI,Insufficient Funds,0,10,15,0
NetBanking,Technical Error,3,2,1440,1
NetBanking,Technical Error,2,16,15,1
NetBanking,Bank Declined,3,22,1440,0
Card,Expired Card,0,11,15,1
Wallet,Bank Declined,4,2,1440,0
Wallet,Bank Declined,3,22,15,1
Wallet,Expired Card,0,1,1440,0
Wallet,Insufficient Funds,0,3,0,0
NetBanking,Technical Error,1,17,60,1
Card,Bank Declined,1,19,60,0
Card,Expired Card,4,20,60,0
NetBanking,Network Error,1,13,60,0
Card,Bank Declined,4,7,0,0
NetBanking,Technical Error,2,1,0,1
Wallet,Insufficient Funds,2,18,1440,0
NetBanking,Bank Declined,1,9,0,0
Wallet,Bank Declined,2,4,60,0
Wallet,Expired Card,3,10,360,0
UPI,Network Error,3,8,1440,1
NetBanking,Network Error,3,15,15,1
UPI,Insufficient Funds,2,4,60,1
NetBanking,Technical Error,3,14,60,0
NetBanking,Insufficient Funds,4,13,60,0
UPI,Bank Declined,0,8,0,0
UPI,Bank Declined,1,19,15,0
NetBanking,Network Error,4,4,1440,0
Card,Technical Error,3,14,60,1
Wallet,Expired Card,0,8,15,0
UPI,Technical Error,1,3,360,1
Wallet,Bank Declined,4,20,0,0
Card,Expired Card,1,20,60,0
Card,Technical Error,2,3,15,1
Card,Technical Error,3,19,15,1
UPI,Expired Card,4,20,60,0
Card,Bank Declined,4,21,15,0
UPI,Technical Error,0,6,15,0
Card,Expired Card,0,14,1440,1
Wallet,Bank Declined,0,21,0,0
Wallet,Expired Card,1,16,1440,0
NetBanking,Expired Card,3,17,0,0
Wallet,Technical Error,1,6,0,1
NetBanking,Bank Declined,3,18,1440,1
Wallet,Technical Error,4,9,60,1
UPI,Insufficient Funds,1,12,15,1
Wallet,Insufficient Funds,1,1,360,1
NetBanking,Bank Declined,1,21,1440,1
NetBanking,Expired Card,2,19,1440,0
Card,Technical Error,3,10,60,1
UPI,Technical Error,3,4,15,1
Wallet,Bank Declined,1,5,1440,1
Card,Bank Declined,2,2,360,0
Wallet,Insufficient Funds,1,0,15,0
Wallet,Network Error,3,2,1440,1
Card,Bank Declined,4,2,1440,0
Card,Network Error,2,21,0,1
Card,Bank Declined,2,3,0,1
Card,Expired Card,1,6,1440,1
Card,Expired Card,4,14,60,0
Wallet,Insufficient Funds,3,10,0,1
Card,Insufficient Funds,0,17,1440,1
UPI,Network Error,3,11,15,0
NetBanking,Bank Declined,3,3,360,0
Card,Technical Error,4,23,0,0
Card,Insufficient Funds,2,10,1440,1
Wallet,Technical Error,3,5,0,0
Card,Technical Error,2,18,15,0
Card,Bank Declined,4,17,60,0
Card,Network Error,4,14,1440,0
Wallet,Bank Declined,1,2,15,0
Card,Insufficient Funds,0,16,360,0
NetBanking,Technical Error,4,0,1440,1
Wallet,Bank Declined,4,1,360,1
NetBanking,Bank Declined,2,18,60,0
Wallet,Bank Declined,4,8,1440,0
Card,Insufficient Funds,3,7,1440,1
NetBanking,Network Error,1,11,15,1
Wallet,Bank Declined,1,14,0,0
UPI,Insufficient Funds,3,22,1440,1
Card,Technical Error,4,6,60,0
Wallet,Expired Card,0,20,1440,0
UPI,Insufficient Funds,4,15,1440,1
Wallet,Expired Card,1,6,1440,0
UPI,Bank Declined,0,19,1440,0
Card,Bank Declined,2,20,60,0
NetBanking,Insufficient Funds,2,11,15,1
UPI,Expired Card,4,16,0,0
Wallet,Bank Declined,4,10,60,0
Card,Technical Error,0,3,60,1
UPI,Network Error,0,18,360,0
Wallet,Network Error,4,1,0,1
Wallet,Bank Declined,1,1,15,0
Wallet,Expired Card,2,23,15,0
UPI,Bank Declined,0,16,360,0
UPI,Expired Card,1,23,360,0
UPI,Technical Error,4,8,60,1
NetBanking,Expired Card,3,21,15,0
UPI,Bank Declined,0,0,15,1
UPI,Technical Error,3,9,15,0
UPI,Insufficient Funds,1,22,60,0
NetBanking,Network Error,2,14,15,1
UPI,Bank Declined,1,20,1440,0
Wallet,Bank Declined,2,14,360,1
UPI,Bank Declined,1,22,360,0
Wallet,Technical Error,0,20,360,1
Wallet,Insufficient Funds,0,1,360,0
Wallet,Expired Card,3,13,1440,0
NetBanking,Insufficient Funds,1,3,0,0
NetBanking,Technical Error,1,17,15,1
NetBanking,Bank Declined,3,8,360,0
UPI,Network Error,4,1,15,0
Wallet,Bank Declined,1,1,15,0
NetBanking,Expired Card,1,17,1440,1
NetBanking,Network Error,1,16,15,1
UPI,Bank Declined,4,8,360,0
NetBanking,Network Error,0,7,15,0
UPI,Insufficient Funds,3,1,1440,0
Card,Technical Error,4,1,360,0
NetBanking,Bank Declined,2,4,1440,0
Card,Expired Card,2,11,60,0
UPI,Insufficient Funds,4,15,0,1
Wallet,Bank Declined,4,13,15,0
NetBanking,Insufficient Funds,0,19,15,1
UPI,Expired Card,2,1,15,0
Wallet,Bank Declined,3,23,60,1
Wallet,Expired Card,1,7,0,0
Card,Network Error,1,3,1440,1
UPI,Expired Card,0,19,60,0
Wallet,Network Error,0,8,60,1
NetBanking,Bank Declined,2,19,360,1
NetBanking,Network Error,3,18,60,0
Card,Bank Declined,3,1,60,0
Wallet,Bank Declined,4,15,15,0
UPI,Technical Error,0,10,360,0
NetBanking,Bank Declined,1,7,1440,0
