transaction_id,amount,payment_method,failure_reason,retry_count,transaction_hour,previous_success_rate,customer_lifetime_value,recovered,recommended_delay_minutes,historical_recovery_rate
1,4898.65,UPI,Insufficient Funds,3,22,0.0260300282030796,29810.33,0,1440,0.5732984293193717
2,2596.02,UPI,Bank Declined,3,5,0.4134487143624287,6648.04,0,360,0.3333333333333333
3,5696.96,UPI,Expired Card,0,22,0.1555602004515762,3750.65,1,360,0.13221153846153846
4,13670.97,UPI,Technical Error,2,17,0.6430968210213586,3723.62,0,60,0.6748166259168704
5,2358.65,Card,Bank Declined,4,19,0.9573458487780412,32950.5,1,360,0.3333333333333333
6,2358.69,UPI,Network Error,0,0,0.6245849045552929,11215.82,1,15,0.7391304347826086
7,14461.03,UPI,Bank Declined,3,1,0.6948777063858891,3571.36,0,360,0.3333333333333333
8,6421.68,Card,Bank Declined,3,6,0.3965629004256095,4107.76,0,360,0.3333333333333333
9,1864.09,UPI,Bank Declined,2,4,0.5631408689519164,2668.41,0,360,0.3333333333333333
10,5128.46,Card,Bank Declined,3,18,0.5438577096858598,7487.37,0,360,0.3333333333333333
11,1875.41,Card,Network Error,4,1,0.759606345267944,13125.99,0,15,0.7391304347826086
12,1871.08,UPI,Technical Error,1,2,0.8569116470202952,38014.33,1,60,0.6748166259168704
13,3796.98,Card,Technical Error,3,19,0.6628859442830998,23971.71,0,60,0.6748166259168704
14,439.98,Card,Insufficient Funds,2,9,0.979808801924046,8404.65,1,1440,0.5732984293193717
15,531.17,UPI,Technical Error,1,9,0.8282883925244996,4055.94,1,60,0.6748166259168704
16,1698.86,UPI,Bank Declined,4,20,0.124646748916925,12821.66,0,360,0.3333333333333333
17,1082.65,Card,Bank Declined,4,7,0.5074753983861712,1380.39,0,360,0.3333333333333333
18,4081.61,NetBanking,Expired Card,4,8,0.90323607869377,3685.16,1,360,0.13221153846153846
19,1202.28,Card,Bank Declined,2,1,0.9439348687312138,15293.45,1,360,0.3333333333333333
20,726.11,UPI,Insufficient Funds,1,2,0.380205938432398,19457.04,1,1440,0.5732984293193717
21,12908.6,Card,Insufficient Funds,4,15,0.7257040615165246,29985.78,0,1440,0.5732984293193717
22,2378.5,UPI,Bank Declined,3,3,0.4105454836423783,7236.11,1,360,0.3333333333333333
23,3189.21,Card,Technical Error,1,22,0.1236597221794318,29623.46,0,60,0.6748166259168704
24,717.13,Card,Expired Card,4,5,0.8846113049224182,5518.94,1,360,0.13221153846153846
25,1729.55,Card,Technical Error,1,12,0.9319531227123078,5099.65,0,60,0.6748166259168704
26,3330.65,NetBanking,Technical Error,3,5,0.5047505312658066,11019.21,0,60,0.6748166259168704
27,942.94,Card,Technical Error,0,9,0.0183074308201437,25400.2,0,60,0.6748166259168704
28,4340.3,Card,Technical Error,4,22,0.8160362506962597,20724.26,0,60,0.6748166259168704
29,1634.94,UPI,Insufficient Funds,3,16,0.4769603662307908,22775.64,0,1440,0.5732984293193717
30,2226.77,NetBanking,Expired Card,2,7,0.0750283575415685,13721.56,0,360,0.13221153846153846
31,1633.19,NetBanking,Bank Declined,4,8,0.1893914828714948,21143.12,0,360,0.3333333333333333
32,19001.59,UPI,Expired Card,0,1,0.1521193402304284,8333.69,0,360,0.13221153846153846
